OrderID,CustomerID,EmployeeID,OrderDate,ShipDate,ShipMode,Region
87,16,6,2023-07-23,2023-07-29,"First Class",East
88,39,1,2023-04-14,2023-04-21,"First Class",North
89,36,4,2024-03-18,2024-03-25,"Second Class",Central
90,35,5,2023-12-24,2023-12-25,"Standard Class",Central
91,12,5,2023-04-18,2023-04-20,"Same Day",North
92,29,6,2025-11-17,2025-11-22,"Standard Class",South
93,4,8,2025-04-02,2025-04-06,"Standard Class",North
94,36,6,2025-02-19,2025-02-24,"First Class",Central
95,29,4,2025-04-27,2025-04-30,"Same Day",South
96,5,2,2023-06-24,2023-06-25,"Same Day",East
97,9,9,2023-05-03,2023-05-08,"First Class",Central
98,28,1,2024-08-12,2024-08-17,"First Class",East
99,7,6,2025-01-22,2025-01-23,"First Class",Central
100,36,1,2024-07-01,2024-07-02,"Second Class",Central
101,26,2,2023-10-18,2023-10-24,"Standard Class",South
102,25,7,2025-07-18,2025-07-21,"Second Class",East
103,40,1,2023-06-17,2023-06-20,"Same Day",North
104,38,8,2025-12-15,2025-12-21,"First Class",South
105,4,1,2024-02-23,2024-02-26,"Second Class",North
106,32,7,2023-12-26,2023-12-28,"Same Day",South
107,26,1,2025-06-12,2025-06-13,"Same Day",South
108,37,7,2025-05-05,2025-05-08,"Standard Class",East
109,28,10,2025-03-31,2025-04-05,"Standard Class",East
110,33,4,2024-12-16,2024-12-19,"Second Class",South
111,10,2,2023-12-29,2024-01-05,"Same Day",Central
112,10,8,2023-05-20,2023-05-24,"Same Day",Central
113,29,1,2023-04-27,2023-04-30,"First Class",South
114,39,9,2025-02-26,2025-03-02,"Standard Class",North
115,22,2,2025-10-30,2025-11-05,"Second Class",South
116,29,9,2025-12-06,2025-12-11,"Second Class",South
117,22,2,2024-11-06,2024-11-07,"Same Day",South
118,10,6,2024-09-27,2024-10-03,"Same Day",Central
119,22,3,2025-12-14,2025-12-15,"Same Day",South
120,15,3,2023-11-14,2023-11-15,"First Class",North
121,34,1,2024-11-20,2024-11-27,"Second Class",Central
122,16,8,2024-08-06,2024-08-13,"Same Day",East
123,13,6,2025-06-21,2025-06-25,"First Class",South
124,7,9,2023-09-13,2023-09-16,"Standard Class",Central
125,15,8,2024-12-16,2024-12-17,"Same Day",North
126,16,7,2023-06-17,2023-06-20,"Second Class",East
127,22,3,2023-10-09,2023-10-10,"First Class",South
128,10,9,2025-12-16,2025-12-20,"Standard Class",Central
129,5,2,2025-10-20,2025-10-25,"Standard Class",East
130,23,4,2025-05-03,2025-05-05,"Standard Class",West
131,31,1,2025-03-03,2025-03-06,"First Class",West
132,16,2,2024-11-11,2024-11-13,"Standard Class",East
133,12,3,2023-05-10,2023-05-16,"Same Day",North
134,13,1,2024-10-08,2024-10-11,"Same Day",South
135,18,2,2025-01-23,2025-01-27,"Same Day",East
136,28,2,2025-05-31,2025-06-05,"Second Class",East
137,28,3,2025-06-28,2025-07-01,"Same Day",East
138,28,5,2023-04-28,2023-04-29,"Same Day",East
139,29,1,2023-09-16,2023-09-17,"Second Class",South
140,24,8,2023-06-07,2023-06-12,"Second Class",Central
141,32,9,2025-03-03,2025-03-08,"Standard Class",South
142,13,2,2023-10-05,2023-10-12,"Standard Class",South
143,35,5,2024-09-06,2024-09-13,"Second Class",Central
144,9,4,2025-10-08,2025-10-09,"First Class",Central
145,31,9,2025-04-21,2025-04-28,"Same Day",West
146,5,8,2025-08-12,2025-08-18,"First Class",East
147,9,7,2025-10-26,2025-11-02,"Standard Class",Central
148,11,3,2024-10-22,2024-10-28,"Second Class",Central
149,20,10,2025-12-28,2025-12-29,"Second Class",North
150,37,1,2023-02-28,2023-03-01,"Standard Class",East
151,35,5,2024-09-10,2024-09-14,"Second Class",Central
152,39,3,2024-10-02,2024-10-09,"First Class",North
153,30,2,2024-07-01,2024-07-05,"Second Class",South
154,16,3,2024-11-01,2024-11-06,"First Class",East
155,20,8,2023-02-17,2023-02-18,"Same Day",North
156,31,5,2023-01-17,2023-01-24,"Standard Class",West
157,24,9,2024-08-14,2024-08-15,"Same Day",Central
158,22,9,2025-01-18,2025-01-25,"Second Class",South
159,3,3,2024-11-13,2024-11-20,"Same Day",North
160,22,9,2025-11-09,2025-11-14,"Same Day",South
161,2,10,2025-08-29,2025-09-01,"Second Class",East
162,34,10,2025-02-17,2025-02-19,"Second Class",Central
163,13,1,2025-06-22,2025-06-25,"Same Day",South
164,40,8,2023-05-08,2023-05-14,"Second Class",North
165,21,3,2025-07-30,2025-08-04,"First Class",Central
166,13,4,2024-07-25,2024-07-30,"First Class",South
167,32,6,2025-09-09,2025-09-12,"First Class",South
168,10,5,2023-03-28,2023-03-31,"Standard Class",Central
169,36,5,2023-10-09,2023-10-10,"Second Class",Central
170,4,2,2025-04-26,2025-04-29,"Same Day",North
171,36,3,2025-04-13,2025-04-19,"Same Day",Central
172,35,1,2023-12-25,2023-12-29,"Second Class",Central
173,19,1,2023-01-19,2023-01-22,"Standard Class",South
174,18,4,2023-08-19,2023-08-22,"Second Class",East
175,13,3,2025-04-10,2025-04-17,"Same Day",South
176,1,5,2025-02-24,2025-02-26,"Same Day",South
177,16,1,2023-08-31,2023-09-04,"First Class",East
178,8,5,2025-01-22,2025-01-27,"Second Class",West
179,24,7,2025-08-22,2025-08-29,"Second Class",Central
180,29,9,2025-01-10,2025-01-11,"Standard Class",South
181,37,9,2023-11-03,2023-11-05,"First Class",East
182,9,9,2025-04-30,2025-05-04,"Standard Class",Central
183,5,1,2025-05-17,2025-05-20,"Standard Class",East
184,19,7,2024-01-04,2024-01-11,"Second Class",South
185,12,9,2025-03-15,2025-03-20,"Second Class",North
186,35,7,2025-12-25,2025-12-29,"Second Class",Central
187,8,1,2025-05-08,2025-05-13,"Standard Class",West
188,39,1,2024-05-16,2024-05-22,"Standard Class",North
189,21,10,2024-10-18,2024-10-20,"First Class",Central
190,4,9,2023-12-25,2023-12-31,"Same Day",North
191,20,7,2024-01-12,2024-01-19,"Same Day",North
192,36,7,2025-05-03,2025-05-08,"Second Class",Central
193,13,1,2024-07-03,2024-07-07,"Standard Class",South
194,36,4,2025-09-08,2025-09-10,"First Class",Central
195,14,7,2024-05-05,2024-05-10,"First Class",North
196,32,8,2023-07-21,2023-07-28,"Same Day",South
197,10,1,2024-06-18,2024-06-23,"Same Day",Central
198,36,6,2024-06-11,2024-06-18,"Same Day",Central
199,4,9,2023-03-11,2023-03-18,"Standard Class",North
200,9,4,2023-05-20,2023-05-26,"Second Class",Central
201,24,1,2025-09-16,2025-09-22,"Same Day",Central
202,27,1,2023-02-04,2023-02-09,"First Class",East
203,10,4,2024-01-29,2024-02-03,"First Class",Central
204,15,5,2023-06-15,2023-06-21,"Standard Class",North
205,36,8,2023-04-25,2023-05-01,"Standard Class",Central
206,7,9,2023-03-29,2023-03-31,"Second Class",Central
207,14,10,2023-10-23,2023-10-30,"Same Day",North
208,16,10,2025-03-07,2025-03-13,"First Class",East
209,28,4,2023-06-05,2023-06-08,"Same Day",East
210,28,3,2025-02-17,2025-02-18,"First Class",East
211,10,7,2024-10-10,2024-10-13,"Standard Class",Central
212,24,5,2023-07-29,2023-07-31,"Standard Class",Central
213,7,1,2023-07-03,2023-07-06,"Standard Class",Central
214,37,9,2023-12-14,2023-12-20,"Same Day",East
215,5,3,2025-06-09,2025-06-12,"Same Day",East
216,39,10,2024-02-05,2024-02-09,"Standard Class",North
217,22,8,2024-11-16,2024-11-20,"Second Class",South
218,19,8,2024-05-11,2024-05-14,"Same Day",South
219,36,1,2025-08-03,2025-08-09,"Second Class",Central
220,10,7,2025-02-11,2025-02-12,"Same Day",Central
