OrderDetailID,OrderID,ProductID,Quantity,Discount,UnitPrice
108,44,24,9,0.20,48366.09
109,44,17,8,0.05,46339.31
110,44,21,7,0.20,50541.59
111,45,9,8,0.00,41373.02
112,46,11,6,0.20,24081.66
113,46,6,5,0.00,47384.65
114,46,16,5,0.10,47917.37
115,46,7,12,0.00,37511.50
116,47,24,8,0.10,48366.09
117,47,14,4,0.15,53462.28
118,48,10,4,0.05,18907.60
119,49,24,12,0.05,48366.09
120,49,18,5,0.00,33610.67
121,49,11,5,0.00,24081.66
122,49,12,2,0.15,477.52
123,50,7,8,0.00,37511.50
124,50,24,12,0.10,48366.09
125,51,8,5,0.00,37589.56
126,51,12,12,0.10,477.52
127,51,6,3,0.00,47384.65
128,52,4,8,0.05,54787.84
129,52,1,8,0.00,34621.30
130,52,19,3,0.00,20753.09
131,52,10,5,0.20,18907.60
132,53,19,11,0.15,20753.09
133,54,8,2,0.10,37589.56
134,55,15,5,0.10,28070.19
135,55,10,10,0.00,18907.60
136,55,19,10,0.15,20753.09
137,55,14,2,0.20,53462.28
138,56,8,9,0.00,37589.56
139,56,6,3,0.00,47384.65
140,57,10,5,0.15,18907.60
141,57,23,8,0.00,6419.16
142,58,21,5,0.20,50541.59
143,58,5,3,0.00,14052.35
144,59,4,12,0.05,54787.84
145,59,15,5,0.10,28070.19
146,59,23,9,0.05,6419.16
147,59,10,8,0.00,18907.60
148,60,1,11,0.20,34621.30
149,60,3,10,0.10,21346.77
150,60,8,1,0.20,37589.56
151,61,17,3,0.10,46339.31
152,61,21,7,0.15,50541.59
153,61,15,8,0.00,28070.19
154,61,9,8,0.00,41373.02
155,62,11,12,0.05,24081.66
156,62,14,5,0.15,53462.28
157,63,9,7,0.20,41373.02
158,63,11,9,0.20,24081.66
159,63,4,1,0.15,54787.84
160,64,20,11,0.05,29804.03
161,64,25,1,0.00,13398.04
162,64,16,5,0.10,47917.37
163,65,1,11,0.10,34621.30
164,66,3,2,0.15,21346.77
165,66,8,3,0.05,37589.56
166,66,4,12,0.00,54787.84
167,66,15,9,0.15,28070.19
168,67,18,10,0.10,33610.67
169,67,5,12,0.00,14052.35
170,67,13,2,0.00,48209.16
171,67,7,7,0.00,37511.50
172,68,5,6,0.00,14052.35
173,68,15,9,0.20,28070.19
174,68,18,9,0.05,33610.67
175,68,16,8,0.00,47917.37
176,69,11,12,0.05,24081.66
177,70,17,6,0.20,46339.31
178,70,19,2,0.20,20753.09
179,71,14,3,0.00,53462.28
180,71,21,8,0.20,50541.59
181,72,22,6,0.15,18031.34
182,72,18,12,0.20,33610.67
183,72,13,8,0.20,48209.16
184,73,24,7,0.00,48366.09
185,73,3,11,0.15,21346.77
186,74,2,6,0.20,23392.15
187,75,8,7,0.10,37589.56
188,75,17,11,0.20,46339.31
189,76,16,3,0.00,47917.37
190,76,19,8,0.15,20753.09
191,77,10,2,0.05,18907.60
192,77,22,6,0.10,18031.34
193,77,18,5,0.15,33610.67
194,77,6,7,0.15,47384.65
195,78,4,6,0.10,54787.84
196,78,8,5,0.15,37589.56
197,78,13,5,0.00,48209.16
198,78,19,11,0.05,20753.09
199,79,25,10,0.20,13398.04
200,79,26,6,0.00,48327.13
201,79,8,11,0.00,37589.56
202,80,10,8,0.00,18907.60
203,81,24,4,0.00,48366.09
204,81,14,9,0.00,53462.28
205,81,6,9,0.10,47384.65
206,82,24,2,0.05,48366.09
207,82,11,2,0.00,24081.66
208,82,26,4,0.20,48327.13
209,83,9,9,0.00,41373.02
210,84,4,8,0.00,54787.84
211,84,22,10,0.10,18031.34
212,84,8,6,0.10,37589.56
213,85,4,8,0.00,54787.84
214,85,5,2,0.00,14052.35
215,85,2,9,0.00,23392.15
216,85,10,7,0.05,18907.60
217,86,21,7,0.00,50541.59
218,86,4,1,0.15,54787.84
219,86,16,6,0.00,47917.37
220,86,20,8,0.05,29804.03
221,87,2,4,0.00,23392.15
222,87,13,8,0.00,48209.16
223,87,9,11,0.00,41373.02
224,88,5,10,0.00,14052.35
225,88,26,2,0.20,48327.13
226,89,25,10,0.00,13398.04
227,89,5,5,0.20,14052.35
228,89,26,3,0.00,48327.13
229,90,1,4,0.10,34621.30
230,90,12,6,0.00,477.52
231,91,24,2,0.05,48366.09
232,92,17,12,0.20,46339.31
233,92,8,11,0.10,37589.56
234,92,20,5,0.05,29804.03
235,92,2,11,0.00,23392.15
236,93,23,10,0.00,6419.16
237,93,15,2,0.00,28070.19
238,93,3,5,0.10,21346.77
239,93,11,11,0.10,24081.66
240,94,17,12,0.00,46339.31
241,94,20,11,0.15,29804.03
242,94,14,9,0.15,53462.28
243,94,4,4,0.05,54787.84
244,95,14,7,0.00,53462.28
245,95,24,11,0.00,48366.09
246,95,4,6,0.00,54787.84
247,95,11,11,0.05,24081.66
248,96,24,12,0.00,48366.09
249,97,14,6,0.20,53462.28
250,98,4,4,0.00,54787.84
251,98,19,11,0.05,20753.09
252,98,17,4,0.20,46339.31
253,99,26,9,0.20,48327.13
254,99,14,10,0.10,53462.28
255,100,23,6,0.00,6419.16
256,100,25,1,0.00,13398.04
257,100,10,3,0.10,18907.60
258,101,24,9,0.00,48366.09
259,102,10,10,0.10,18907.60
260,102,24,2,0.00,48366.09
261,102,11,3,0.00,24081.66
262,103,16,5,0.00,47917.37
263,103,20,9,0.00,29804.03
264,103,15,6,0.05,28070.19
265,103,14,2,0.00,53462.28
266,104,8,7,0.10,37589.56
267,105,25,5,0.00,13398.04
268,105,9,2,0.00,41373.02
269,106,17,11,0.20,46339.31
270,106,18,6,0.00,33610.67
271,107,11,10,0.05,24081.66
272,108,1,10,0.05,34621.30
273,108,11,12,0.00,24081.66
274,108,6,2,0.05,47384.65
275,108,26,2,0.00,48327.13
276,109,10,6,0.20,18907.60
277,109,24,3,0.00,48366.09
278,109,11,9,0.15,24081.66
279,109,8,2,0.10,37589.56
280,110,4,5,0.00,54787.84
281,110,5,3,0.10,14052.35
282,111,25,10,0.15,13398.04
283,111,19,11,0.10,20753.09
284,111,15,6,0.20,28070.19
285,111,22,11,0.00,18031.34
286,112,26,1,0.00,48327.13
287,112,9,9,0.00,41373.02
288,112,19,5,0.05,20753.09
289,113,21,2,0.10,50541.59
290,114,26,6,0.10,48327.13
291,114,19,8,0.10,20753.09
292,114,21,3,0.00,50541.59
293,114,7,8,0.00,37511.50
294,115,8,12,0.05,37589.56
295,116,12,7,0.20,477.52
296,116,10,6,0.15,18907.60
297,116,13,10,0.00,48209.16
298,117,9,10,0.20,41373.02
299,117,24,3,0.00,48366.09
300,117,22,2,0.10,18031.34
301,118,20,2,0.00,29804.03
302,118,23,9,0.05,6419.16
303,119,1,3,0.00,34621.30
304,119,12,6,0.20,477.52
305,119,10,8,0.00,18907.60
306,120,17,9,0.20,46339.31
307,121,5,10,0.20,14052.35
308,121,6,3,0.15,47384.65
309,121,23,8,0.00,6419.16
310,121,25,7,0.00,13398.04
311,122,18,5,0.20,33610.67
312,122,8,8,0.20,37589.56
313,123,17,10,0.00,46339.31
314,123,14,5,0.00,53462.28
315,123,6,11,0.05,47384.65
316,123,7,6,0.10,37511.50
317,124,9,9,0.00,41373.02
318,124,15,7,0.00,28070.19
319,125,13,9,0.00,48209.16
320,126,11,2,0.20,24081.66
321,127,23,8,0.10,6419.16
322,127,5,1,0.00,14052.35
323,127,25,1,0.00,13398.04
324,127,16,4,0.20,47917.37
325,128,8,1,0.00,37589.56
326,128,10,7,0.15,18907.60
327,128,4,10,0.05,54787.84
328,129,23,5,0.05,6419.16
329,129,5,1,0.10,14052.35
330,130,3,9,0.20,21346.77
331,130,17,9,0.10,46339.31
332,130,18,1,0.05,33610.67
333,131,12,2,0.00,477.52
334,132,18,3,0.20,33610.67
335,132,11,11,0.05,24081.66
336,132,21,12,0.05,50541.59
337,133,10,4,0.00,18907.60
338,134,9,4,0.00,41373.02
339,134,2,6,0.20,23392.15
340,134,25,1,0.20,13398.04
341,134,21,11,0.00,50541.59
342,135,13,12,0.05,48209.16
343,135,11,6,0.20,24081.66
344,135,6,9,0.00,47384.65
345,135,16,2,0.15,47917.37
346,136,11,6,0.15,24081.66
347,136,4,5,0.00,54787.84
348,136,3,8,0.10,21346.77
349,137,24,6,0.10,48366.09
350,138,17,11,0.00,46339.31
351,138,26,1,0.00,48327.13
352,138,24,10,0.15,48366.09
353,139,12,1,0.10,477.52
354,139,13,3,0.15,48209.16
355,139,19,8,0.00,20753.09
356,140,13,5,0.00,48209.16
357,140,11,2,0.00,24081.66
358,140,21,12,0.00,50541.59
359,141,25,8,0.00,13398.04
360,141,9,10,0.00,41373.02
361,141,23,12,0.05,6419.16
362,142,6,11,0.20,47384.65
363,142,23,6,0.15,6419.16
364,142,15,6,0.15,28070.19
365,142,3,2,0.10,21346.77
366,143,26,9,0.00,48327.13
367,143,12,2,0.00,477.52
368,144,15,3,0.10,28070.19
369,144,26,2,0.00,48327.13
370,144,18,5,0.05,33610.67
371,145,5,6,0.15,14052.35
372,146,25,11,0.10,13398.04
373,146,18,3,0.20,33610.67
374,147,17,3,0.00,46339.31
375,148,17,5,0.00,46339.31
376,148,10,11,0.10,18907.60
377,148,3,5,0.00,21346.77
378,149,6,10,0.15,47384.65
379,149,22,10,0.00,18031.34
380,150,21,10,0.05,50541.59
381,150,7,10,0.15,37511.50
382,150,25,1,0.05,13398.04
383,151,10,1,0.00,18907.60
384,151,15,8,0.05,28070.19
385,151,3,8,0.05,21346.77
386,151,23,4,0.00,6419.16
387,152,13,6,0.10,48209.16
388,152,5,9,0.00,14052.35
389,152,25,6,0.00,13398.04
390,153,4,5,0.05,54787.84
391,153,2,10,0.05,23392.15
392,154,25,8,0.10,13398.04
393,154,6,8,0.05,47384.65
394,155,8,1,0.00,37589.56
395,155,7,5,0.05,37511.50
396,155,19,10,0.20,20753.09
397,155,12,11,0.15,477.52
398,156,5,7,0.00,14052.35
399,156,9,1,0.05,41373.02
400,156,24,1,0.10,48366.09
401,156,12,9,0.00,477.52
402,157,25,11,0.10,13398.04
403,157,18,2,0.00,33610.67
404,157,9,2,0.05,41373.02
405,157,20,6,0.20,29804.03
406,158,20,7,0.10,29804.03
407,158,17,1,0.00,46339.31
408,159,5,10,0.00,14052.35
409,159,20,3,0.05,29804.03
410,159,17,10,0.15,46339.31
411,159,11,5,0.10,24081.66
412,160,16,6,0.15,47917.37
413,160,1,2,0.05,34621.30
414,160,12,10,0.00,477.52
415,161,19,8,0.00,20753.09
416,162,19,12,0.00,20753.09
417,163,14,4,0.05,53462.28
418,163,23,9,0.20,6419.16
419,164,18,11,0.05,33610.67
420,164,11,9,0.05,24081.66
421,165,22,11,0.15,18031.34
422,165,25,12,0.00,13398.04
423,165,24,10,0.05,48366.09
424,166,10,5,0.15,18907.60
425,166,25,4,0.15,13398.04
426,167,4,9,0.05,54787.84
427,167,19,7,0.20,20753.09
428,167,22,6,0.20,18031.34
429,168,15,12,0.05,28070.19
430,168,21,4,0.00,50541.59
431,168,9,9,0.00,41373.02
432,169,2,9,0.00,23392.15
433,169,22,11,0.00,18031.34
434,170,22,3,0.00,18031.34
435,171,21,6,0.00,50541.59
436,171,7,11,0.00,37511.50
437,171,25,2,0.15,13398.04
438,171,10,10,0.00,18907.60
439,172,13,8,0.00,48209.16
440,173,10,9,0.10,18907.60
441,173,15,8,0.00,28070.19
442,173,21,9,0.05,50541.59
443,174,21,1,0.15,50541.59
444,174,9,6,0.20,41373.02
445,174,23,5,0.10,6419.16
446,174,6,11,0.20,47384.65
447,175,3,2,0.00,21346.77
448,175,13,3,0.05,48209.16
449,175,22,6,0.00,18031.34
450,176,11,12,0.10,24081.66
451,176,10,1,0.00,18907.60
452,176,19,11,0.00,20753.09
453,177,13,9,0.15,48209.16
454,177,22,5,0.15,18031.34
455,178,5,3,0.05,14052.35
456,178,16,12,0.10,47917.37
457,179,22,10,0.20,18031.34
458,179,25,2,0.10,13398.04
459,180,18,9,0.00,33610.67
460,181,4,10,0.05,54787.84
461,181,22,2,0.10,18031.34
462,181,7,8,0.20,37511.50
463,181,23,1,0.05,6419.16
464,182,22,1,0.05,18031.34
465,182,26,5,0.20,48327.13
466,182,10,1,0.15,18907.60
467,182,24,4,0.10,48366.09
468,183,3,8,0.00,21346.77
469,184,12,11,0.15,477.52
470,184,13,9,0.00,48209.16
471,184,15,11,0.20,28070.19
472,184,3,6,0.00,21346.77
473,185,1,1,0.00,34621.30
474,185,25,8,0.15,13398.04
475,186,15,3,0.00,28070.19
476,186,12,4,0.15,477.52
477,187,7,2,0.10,37511.50
478,187,3,1,0.05,21346.77
479,188,15,1,0.00,28070.19
480,188,8,9,0.00,37589.56
481,188,18,4,0.20,33610.67
482,188,7,12,0.10,37511.50
483,189,22,4,0.05,18031.34
484,189,17,5,0.00,46339.31
485,190,2,7,0.20,23392.15
486,190,12,9,0.00,477.52
487,190,21,12,0.05,50541.59
488,190,22,7,0.00,18031.34
489,191,8,12,0.00,37589.56
490,191,10,8,0.00,18907.60
491,192,8,11,0.00,37589.56
492,192,9,8,0.20,41373.02
493,192,7,6,0.00,37511.50
494,192,11,9,0.15,24081.66
495,193,7,10,0.15,37511.50
496,194,1,2,0.15,34621.30
497,194,7,8,0.00,37511.50
498,194,24,12,0.10,48366.09
499,195,13,11,0.00,48209.16
500,195,15,5,0.00,28070.19
501,195,18,6,0.10,33610.67
502,196,7,7,0.00,37511.50
503,196,12,10,0.20,477.52
504,196,11,4,0.15,24081.66
505,197,5,4,0.05,14052.35
506,197,7,10,0.20,37511.50
507,197,11,4,0.05,24081.66
508,198,15,6,0.00,28070.19
509,198,6,3,0.15,47384.65
510,198,24,9,0.05,48366.09
511,198,26,3,0.10,48327.13
512,199,25,1,0.05,13398.04
513,200,7,9,0.05,37511.50
514,201,1,9,0.10,34621.30
515,202,1,11,0.05,34621.30
516,202,17,3,0.00,46339.31
517,202,23,2,0.10,6419.16
518,203,9,2,0.00,41373.02
519,203,26,7,0.05,48327.13
520,203,13,10,0.00,48209.16
521,204,13,7,0.05,48209.16
522,205,3,7,0.15,21346.77
523,205,16,6,0.10,47917.37
524,206,9,5,0.10,41373.02
525,206,2,10,0.15,23392.15
526,206,3,1,0.00,21346.77
527,206,22,6,0.00,18031.34
528,207,10,3,0.10,18907.60
529,208,25,12,0.15,13398.04
530,208,24,2,0.10,48366.09
531,208,5,12,0.00,14052.35
532,208,26,1,0.00,48327.13
533,209,1,8,0.05,34621.30
534,209,21,4,0.00,50541.59
535,209,9,9,0.05,41373.02
536,210,23,2,0.00,6419.16
537,210,3,3,0.05,21346.77
538,211,1,5,0.05,34621.30
539,212,14,9,0.10,53462.28
540,212,15,9,0.05,28070.19
541,213,13,7,0.05,48209.16
542,213,1,2,0.15,34621.30
543,213,10,9,0.00,18907.60
544,214,5,5,0.00,14052.35
545,214,9,8,0.00,41373.02
546,215,16,6,0.00,47917.37
547,215,26,4,0.15,48327.13
548,215,3,11,0.05,21346.77
549,216,10,7,0.00,18907.60
550,216,1,10,0.05,34621.30
551,217,11,4,0.05,24081.66
552,217,20,6,0.00,29804.03
553,217,23,7,0.00,6419.16
554,218,26,2,0.10,48327.13
555,218,13,4,0.10,48209.16
556,218,12,9,0.00,477.52
557,219,26,7,0.15,48327.13
558,219,10,8,0.00,18907.60
559,219,23,11,0.00,6419.16
560,219,3,4,0.00,21346.77
561,220,19,12,0.05,20753.09
562,220,13,9,0.00,48209.16
563,220,18,6,0.15,33610.67
564,220,17,9,0.10,46339.31
